PERKS,,,,,,,,,,,,
graham_log_guard_7,"你暂时无敌了！",,,,,,,,,,,,
graham_log_guard_8,"你暂时无敌了！",,,,,,,,,,,,
graham_log_guard_9,"你暂时无敌了！",,,,,,,,,,,,
graham_log_guard_10,"你暂时无敌了！这太疯狂了！",,,,,,,,,,,,
graham_log_guard_11,"你暂时无敌了！",,,,,,,,,,,,
graham_log_guard_12,"你暂时无敌了！好耶！",,,,,,,,,,,,
graham_log_guard_13,"你暂时无敌了！",,,,,,,,,,,,
graham_log_guard_14,"你暂时无敌了！呵啊！",,,,,,,,,,,,
graham_log_guard_15,"你暂时无敌了！",,,,,,,,,,,,
graham_log_guard_16,"你暂时无敌了！杀 杀 杀！",,,,,,,,,,,,
graham_log_guard_17,"你知道该做什么 - 去找他们！",,,,,,,,,,,,
graham_log_guard_18,"好好利用你的无敌！摆脱你的烦恼！",,,,,,,,,,,,
graham_log_guard_19,"你是无敌的！跳入酸液或熔岩中！不过要小心变形魔药。",,,,,,,,,,,,
graham_log_guard_20,"这是一些无敌帧。 希望它们能让你活着！",,,,,,,,,,,,
graham_log_guard_21,"无敌！这是给你的，我的朋友！",,,,,,,,,,,,
graham_log_guard_22,"嘿，你正在探索许多地方！做的不错。给你一些无敌效果。",,,,,,,,,,,,
graham_log_guard_23,"你暂时无敌了！",,,,,,,,,,,,
graham_log_guard_24,"你暂时刀枪不入了！",,,,,,,,,,,,
graham_log_guard_25,"你暂时战无不胜了！",,,,,,,,,,,,
graham_log_guard_26,"你暂时不可阻挡了......？",,,,,,,,,,,,
graham_log_guard_27,"我已经要用完无敌的近义词了。",,,,,,,,,,,,
graham_log_guard_28,"你暂时无敌了！......现在的你还需要它吗？",,,,,,,,,,,,
graham_log_guard_29,"你暂时无敌了！我要开始重复我的台词了。",,,,,,,,,,,,
graham_log_guard_30,"你暂时无敌了！",,,,,,,,,,,,
DUMMY_LINE,,,,,,,,,,,,,
